changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,mae,rmse,mape,bias_pct,total_predicted,total_actual
0.005,5.0,multiplicative,27643.05388620827,41893.67423110745,67.9963051945086,-0.8751891987089372,3415716.1325132856,3445874.05
0.005,10.0,multiplicative,27648.880639970535,41895.528547122936,67.98137120988629,-0.9039413120434799,3414725.370901064,3445874.05
0.005,1.0,multiplicative,27691.532043282325,41905.043752073296,67.33709786291719,-1.3160657415855186,3400524.0821297644,3445874.05
0.001,10.0,multiplicative,27763.87042168544,41910.29141057426,67.87411636092119,-1.8327117884965292,3382721.110068907,3445874.05
0.001,0.1,multiplicative,28043.496432576412,42071.9965681605,66.38690331717592,-3.613027395870303,3321373.6765463143,3445874.05
0.005,0.1,multiplicative,28051.938044044018,42085.442130985444,67.7271922471785,-2.4705872220218703,3360740.7260337323,3445874.05
0.01,10.0,multiplicative,28068.000920648356,42113.28246875996,66.18386195335256,-3.1216871281106053,3338304.643330246,3445874.05
0.01,1.0,multiplicative,28105.234206143752,42137.6324793228,65.79713686500992,-3.4525083729019928,3326904.959904093,3445874.05
0.01,5.0,multiplicative,28140.786908106435,42166.80540636363,65.93751805342387,-3.5101096239541865,3324920.09334161,3445874.05
0.01,0.1,multiplicative,28164.595613083096,42143.06391342586,67.79196713070353,-2.6637081949790775,3354086.0205414924,3445874.05
0.005,1.0,additive,28791.389127451046,42210.366344327966,76.00897706386768,-0.29307626346540855,3435775.0110905357,3445874.05
0.01,10.0,additive,28796.56500239372,42305.51860962578,72.9036688796566,-1.9862087186904587,3377431.799183808,3445874.05
0.01,1.0,additive,28804.33296541376,42335.7411239137,72.31613223751853,-2.347864917900146,3364969.582065025,3445874.05
0.005,10.0,additive,28804.593366628607,42232.0010809468,75.73833873871968,-0.43127509774319045,3431012.853322755,3445874.05
0.01,5.0,additive,28805.962450178264,42308.39946154329,73.02210264191326,-1.9412665094614974,3378980.4511091253,3445874.05
0.005,5.0,additive,28824.54615257217,42374.159149996165,71.6942771424118,-2.794297619348738,3349586.073455094,3445874.05
0.01,0.1,additive,28866.732258094326,42374.50535841089,72.40091464504683,-2.5154199948085303,3359195.8451503813,3445874.05
0.005,0.1,additive,28871.42339367321,42424.82056941999,71.55740816220812,-3.0007217459961493,3342472.9580420116,3445874.05
0.001,5.0,multiplicative,29091.776603271708,42367.706422328076,70.01123579243192,-5.621859143740733,3252151.8646382857,3445874.05
0.05,10.0,multiplicative,29165.616476066807,43195.29524371649,65.43918592955418,-5.866522545707046,3243721.0719600813,3445874.05
0.05,5.0,multiplicative,29263.51632028392,43301.26911555261,65.11205645222302,-6.250115185572438,3230502.95272525,3445874.05
0.05,1.0,multiplicative,29358.620795289247,43402.86785865752,64.51688592148396,-6.870184354199463,3209136.1501514805,3445874.05
0.05,0.1,multiplicative,29432.08071439624,43189.43023446808,68.46299175826904,-5.207904624560222,3266416.215993529,3445874.05
0.05,5.0,additive,29524.92605746147,42945.08414037857,73.351011946153,-2.8215211589901426,3348647.9845670993,3445874.05
0.05,1.0,additive,29528.155733043146,42939.13871023332,73.51832387966944,-2.7292946978026933,3351825.992260391,3445874.05
0.1,1.0,multiplicative,29528.36218110165,43573.64920222294,64.12918240506247,-7.530798003901781,3186372.2358256304,3445874.05
0.05,10.0,additive,29549.62661167503,42963.23915892723,73.50824638728301,-2.7637752132474636,3350637.8371263733,3445874.05
0.05,0.1,additive,29566.524986009008,42951.628781331914,73.87067465617993,-2.662603776725536,3354124.0774034946,3445874.05
0.1,5.0,multiplicative,29623.62608261638,43669.98395475409,64.68090106672874,-7.289486102267065,3194687.5400236226,3445874.05
0.1,10.0,multiplicative,29733.996312051073,43780.27816922184,64.40862804916212,-7.663620183099844,3181795.35082,3445874.05
0.1,10.0,additive,29756.941190035195,43358.70391192334,71.09737970235248,-4.422932327771853,3293465.3726682486,3445874.05
0.1,1.0,additive,29817.65640783653,43460.197952885006,70.82149117450493,-4.6530228989581115,3285536.7413842445,3445874.05
0.1,0.1,additive,29865.05511755057,43554.31564250461,70.29231375900818,-5.102742416571559,3270039.9732290176,3445874.05
0.1,5.0,additive,29877.317313770265,43566.74271925111,70.43439552247592,-4.949474112081301,3275321.4059603224,3445874.05
0.1,0.1,multiplicative,29946.634769178476,43765.380271205795,67.56702878380128,-6.734461959469612,3213812.972931515,3445874.05
0.001,0.1,additive,30269.801484963227,42818.579327184816,88.22588801089982,6.941265286467481,3685061.309248041,3445874.05
0.001,1.0,additive,30420.60024302016,42898.31056147238,88.6474735607374,7.5090447326290315,3704626.2738445555,3445874.05
0.001,10.0,additive,30462.16142143503,42910.77105791502,89.049248241486,7.459318454854132,3702912.7689426793,3445874.05
0.001,5.0,additive,30505.224652083627,42931.705301043425,89.26139914277418,7.54061692485596,3705714.2118235193,3445874.05
0.001,1.0,multiplicative,47361.76798005927,58769.02117907899,168.12783841599347,7.496687856821145,3704200.471467701,3445874.05
