feature,importance
is_weekend,0.74792576
day_of_week,0.13610381
dow_sin,0.011177582
days_since_start,0.004853054
week_of_year,0.0047462014
same_day_last_week,0.004563427
rolling_min_14,0.004328403
day_of_year,0.0042744684
same_day_2_weeks_ago,0.004230476
rolling_max_14,0.0038523
rolling_std_28,0.0037841818
lag_28,0.003726699
lag_3,0.0036279138
lag_7,0.0035070963
day,0.0033092895
is_month_start,0.003278467
rolling_min_28,0.0031246473
is_month_end,0.0031153806
rolling_min_7,0.0030699107
rolling_mean_14,0.003056231
lag_14,0.002989101
lag_2,0.002905583
month_sin,0.002884458
lag_21,0.0028520573
rolling_max_28,0.0028041536
rolling_max_7,0.0027435825
expanding_mean,0.0026568058
rolling_std_7,0.0026401982
lag_1,0.0026342086
rolling_mean_7,0.0025045336
month,0.0024691445
rolling_std_14,0.00235587
rolling_mean_28,0.0023137904
month_cos,0.0022988487
dow_cos,0.0022634347
year,0.0008974069
quarter,0.00013147829
